h,gen,acc,ce,sf0,sf1,sf2,sf3,sf4,sfn1000,prev20,prev60,ploss,wdl,lr,visits,fast,replay_rows,repl_cap,gen_age,samp/s,rows/s
1,19,0.172,3.359,0.191,0.073,0.037,0.027,0.018,0.009,0.811,0.93,2.8491,0.53,0.005,300.0,75.0,623000.0,623000.0,9.7578,11580.5332,14040.6973
2,36,0.254,3.105,0.391,0.184,0.134,0.072,0.058,0.016,0.736,0.91,2.601,0.4786,0.005,400.0,100.0,912000.0,912000.0,5.8203,11976.0449,14909.4932
3,50,0.299,3.063,0.623,0.392,0.286,0.167,0.141,0.018,0.659,0.825,2.4247,0.5479,0.005,500.0,125.0,1150000.0,1150000.0,6.0859,12165.3232,15305.9717
4,61,0.326,3.019,0.782,0.601,0.401,0.306,0.235,0.022,0.592,0.735,2.2946,0.5539,0.005,500.0,125.0,1337000.0,1337000.0,6.2109,12408.7119,15311.9648
6,79,0.351,3.004,0.939,0.842,0.693,0.559,0.474,0.053,0.556,0.653,2.0448,0.7113,0.005,500.0,125.0,1639710.0,1643000.0,6.9062,12957.8721,16055.4922
12,124,0.38,3.04,0.972,0.939,0.842,0.761,0.683,0.127,0.507,0.512,1.7677,0.8103,0.0035,600.0,150.0,2000000.0,2000000.0,8.1328,13707.8369,17310.0977
24,156,0.37,3.088,0.966,0.929,0.872,0.772,0.721,0.123,0.5,0.45,1.9054,0.6629,0.004,600.0,150.0,635976.0,2500000.0,3.7852,9264.5244,15700.7666
48,330,0.406,3.017,0.993,0.988,0.955,0.882,0.832,0.234,0.511,0.49,1.6614,0.8772,0.004,800.0,150.0,1500000.0,1500000.0,7.8281,8602.1934,15187.5449
72,495,0.418,2.999,0.995,0.984,0.967,0.912,0.883,0.274,0.49,0.467,1.6094,0.8964,0.003,800.0,150.0,1500000.0,1500000.0,7.8398,9574.0693,16492.2129
96,621,0.424,3.019,0.998,0.98,0.95,0.923,0.904,0.315,0.497,0.477,1.562,0.9087,0.002,1000.0,150.0,1500000.0,1500000.0,6.2695,9376.0273,16353.04
