# Deterministic 50-opening subset of official-stockfish/books 8moves_v3.pgn.
# Source commit: 65815ccdbc7727cd4f6aee252ba8f67fb740e92f
# Source archive SHA-256: 7e1e9dd118b4bb97d8a8b5b8a790c86e21f8509d59a27d2883767d94477be02e
# Columns: opening_id, UCI move sequence, expected final FEN
8moves-v3-00206	e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 d4b3 e7e6 f2f4 f8e7 f1d3 a7a6	r1bqk2r/1p2bppp/p1nppn2/8/4PP2/1NNB4/PPP3PP/R1BQK2R w KQkq - 0 9
8moves-v3-00231	d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8a6 d1c2 f8b4 c1d2 b4d2 b1d2 d7d5 f1g2 e8g8	rn1q1rk1/p1p2ppp/bp2pn2/3p4/2PP4/5NP1/PPQNPPBP/R3K2R w KQ - 2 9
8moves-v3-00279	d2d4 g8f6 g1f3 d7d5 c2c4 e7e6 g2g3 d5c4 f1g2 b8c6 e1g1 a8b8 e2e3 f8d6 d1c2 e8g8	1rbq1rk1/ppp2ppp/2nbpn2/8/2pP4/4PNP1/PPQ2PBP/RNB2RK1 w - - 3 9
8moves-v3-00453	e2e4 c7c5 g1f3 b8c6 f1b5 d7d6 b5c6 b7c6 e1g1 c8g4 h2h3 g4h5 f1e1 g8f6 d2d3 f6d7	r2qkb1r/p2npppp/2pp4/2p4b/4P3/3P1N1P/PPP2PP1/RNBQR1K1 w kq - 1 9
8moves-v3-00572	e2e4 e7e5 g1f3 b8c6 f1b5 d7d6 d2d4 c8d7 b5c6 d7c6 b1c3 g8f6 d1d3 e5d4 f3d4 f8e7	r2qk2r/ppp1bppp/2bp1n2/8/3NP3/2NQ4/PPP2PPP/R1B1K2R w KQkq - 1 9
8moves-v3-00751	g1f3 g8f6 g2g3 b7b6 f1g2 c8b7 e1g1 e7e6 d2d3 c7c5 e2e4 d7d5 e4e5 f6d7 c2c4 d5d4	rn1qkb1r/pb1n1ppp/1p2p3/2p1P3/2Pp4/3P1NP1/PP3PBP/RNBQ1RK1 w kq - 0 9
8moves-v3-00814	d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 g7g6 c1f4 f8g7 e2e3 e8g8 h2h3 c6c5 f1e2 b8c6	r1bq1rk1/pp2ppbp/2n2np1/2pp4/2PP1B2/2N1PN1P/PP2BPP1/R2QK2R w KQ - 2 9
8moves-v3-01398	c2c4 g7g6 b1c3 f8g7 g2g3 c7c5 f1g2 b8c6 e2e3 h7h5 h2h3 g8h6 g1e2 h6f5 b2b3 b7b6	r1bqk2r/p2pppb1/1pn3p1/2p2n1p/2P5/1PN1P1PP/P2PNPB1/R1BQK2R w KQkq - 0 9
8moves-v3-01741	e2e4 c7c6 d2d4 d7d5 e4e5 c8f5 h2h4 h7h5 c2c4 d5c4 f1c4 e7e6 b1c3 b8d7 g1e2 g8e7	r2qkb1r/pp1nnpp1/2p1p3/4Pb1p/2BP3P/2N5/PP2NPP1/R1BQK2R w KQkq - 4 9
8moves-v3-02421	e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 c1g5 e7e6 f2f4 d8b6 a2a3 b8c6	r1b1kb1r/1p3ppp/pqnppn2/6B1/3NPP2/P1N5/1PP3PP/R2QKB1R w KQkq - 1 9
8moves-v3-02946	e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 d7d6 c2c3 c8g4 h2h3 g4h5	r2qk2r/1pp1bppp/p1np1n2/4p2b/B3P3/2P2N1P/PP1P1PP1/RNBQR1K1 w kq - 1 9
8moves-v3-03362	g1f3 g8f6 c2c4 b7b6 d2d4 e7e6 g2g3 c8a6 b2b3 f8b4 c1d2 b4d2 b1d2 a6b7 f1g2 c7c5	rn1qk2r/pb1p1ppp/1p2pn2/2p5/2PP4/1P3NP1/P2NPPBP/R2QK2R w KQkq - 0 9
8moves-v3-03989	d2d4 g8f6 c2c4 e7e6 g1f3 c7c5 b1c3 c5d4 f3d4 f8b4 d4b5 d7d5 c1f4 e8g8 c4d5 e6d5	rnbq1rk1/pp3ppp/5n2/1N1p4/1b3B2/2N5/PP2PPPP/R2QKB1R w KQ - 0 9
8moves-v3-04383	c2c4 g7g6 g2g3 g8f6 f1g2 d7d5 c4d5 f6d5 b1c3 d5b6 d2d3 f8g7 h2h4 h7h6 c1e3 b8c6	r1bqk2r/ppp1ppb1/1nn3pp/8/7P/2NPB1P1/PP2PPB1/R2QK1NR w KQkq - 2 9
8moves-v3-04771	g1f3 d7d5 g2g3 c7c6 f1g2 c8g4 h2h3 g4f3 g2f3 b8d7 d2d3 e7e6 e2e4 f8d6 b1d2 g8e7	r2qk2r/pp1nnppp/2pbp3/3p4/4P3/3P1BPP/PPPN1P2/R1BQK2R w KQkq - 3 9
