# Deterministic 50-opening subset of official-stockfish/books 8moves_v3.pgn.
# Source commit: 65815ccdbc7727cd4f6aee252ba8f67fb740e92f
# Source archive SHA-256: 7e1e9dd118b4bb97d8a8b5b8a790c86e21f8509d59a27d2883767d94477be02e
8moves-v3-00206	r1bqk2r/1p2bppp/p1nppn2/8/4PP2/1NNB4/PPP3PP/R1BQK2R w KQkq - 0 9
8moves-v3-00231	rn1q1rk1/p1p2ppp/bp2pn2/3p4/2PP4/5NP1/PPQNPPBP/R3K2R w KQ - 2 9
8moves-v3-00279	1rbq1rk1/ppp2ppp/2nbpn2/8/2pP4/4PNP1/PPQ2PBP/RNB2RK1 w - - 3 9
8moves-v3-00453	r2qkb1r/p2npppp/2pp4/2p4b/4P3/3P1N1P/PPP2PP1/RNBQR1K1 w kq - 1 9
8moves-v3-00572	r2qk2r/ppp1bppp/2bp1n2/8/3NP3/2NQ4/PPP2PPP/R1B1K2R w KQkq - 1 9
8moves-v3-00751	rn1qkb1r/pb1n1ppp/1p2p3/2p1P3/2Pp4/3P1NP1/PP3PBP/RNBQ1RK1 w kq - 0 9
8moves-v3-00814	r1bq1rk1/pp2ppbp/2n2np1/2pp4/2PP1B2/2N1PN1P/PP2BPP1/R2QK2R w KQ - 2 9
8moves-v3-01398	r1bqk2r/p2pppb1/1pn3p1/2p2n1p/2P5/1PN1P1PP/P2PNPB1/R1BQK2R w KQkq - 0 9
8moves-v3-01741	r2qkb1r/pp1nnpp1/2p1p3/4Pb1p/2BP3P/2N5/PP2NPP1/R1BQK2R w KQkq - 4 9
8moves-v3-02421	r1b1kb1r/1p3ppp/pqnppn2/6B1/3NPP2/P1N5/1PP3PP/R2QKB1R w KQkq - 1 9
8moves-v3-02946	r2qk2r/1pp1bppp/p1np1n2/4p2b/B3P3/2P2N1P/PP1P1PP1/RNBQR1K1 w kq - 1 9
8moves-v3-03362	rn1qk2r/pb1p1ppp/1p2pn2/2p5/2PP4/1P3NP1/P2NPPBP/R2QK2R w KQkq - 0 9
8moves-v3-03989	rnbq1rk1/pp3ppp/5n2/1N1p4/1b3B2/2N5/PP2PPPP/R2QKB1R w KQ - 0 9
8moves-v3-04383	r1bqk2r/ppp1ppb1/1nn3pp/8/7P/2NPB1P1/PP2PPB1/R2QK1NR w KQkq - 2 9
8moves-v3-04771	r2qk2r/pp1nnppp/2pbp3/3p4/4P3/3P1BPP/PPPN1P2/R1BQK2R w KQkq - 3 9
8moves-v3-04901	rnbq1rk1/p1p2pbp/1p3np1/3p4/3P4/1QN1PN2/PP1B1PPP/R3KB1R w KQ - 0 9
8moves-v3-05300	r2qkb1r/1p3ppp/p1np1n2/4p3/4P1b1/1NNQ2P1/PPP2P1P/R1B1KB1R w KQkq - 4 9
8moves-v3-05487	rnbqkb1r/5ppp/p3pn2/2p5/PpBP4/4PN2/1P3PPP/RNBQK2R w KQkq - 0 9
8moves-v3-05508	r1bq1rk1/ppp2pp1/2n1pb1p/3p4/2PP4/2N1PN2/PP1Q1PPP/R3KB1R w KQ - 3 9
8moves-v3-05779	r2qk2r/pb1pbppp/1p2pn2/2p5/2Pn4/1P3NP1/PB2PPBP/RN1Q1RK1 w kq - 0 9
8moves-v3-05890	r1b1kb1r/2qp1ppp/p1n1pn2/1p6/3NP3/2NBB3/PPP2PPP/R2Q1RK1 w kq - 0 9
8moves-v3-06373	r1bqk2r/p2nbpp1/1pp1pn1p/3p4/2PP3B/2NBPN2/PP3PPP/R2QK2R w KQkq - 0 9
8moves-v3-06388	r3kb1r/ppqn1ppp/2p1pnb1/3p4/2PP3N/1QN1P1P1/PP3P1P/R1B1KB1R w KQkq - 3 9
8moves-v3-06998	rn1q1rk1/pb2bppp/1pp1pn2/3p4/2P5/1P3NP1/PBQPPPBP/RN3RK1 w - - 4 9
8moves-v3-07073	r1bqk2r/pp1nbppp/4p3/2p2n2/8/1QN2NP1/PP1PPPBP/R1B1K2R w KQkq - 6 9
8moves-v3-07291	rn1qk2r/pbpp2pp/1p2pn2/3P4/2P5/2b2B2/PP3PPP/R1BQK1NR w KQkq - 0 9
8moves-v3-07368	r1b1kb1r/pp2pppp/2n5/2qpP3/3Nn3/5N2/PPP2PPP/R1BQKB1R w KQkq - 2 9
8moves-v3-07473	rnbqk2r/1pp2pbp/1n1pp1p1/p3P1N1/P2P4/1B6/1PP2PPP/RNBQK2R w KQkq - 0 9
8moves-v3-07583	rnbqk1nr/1p4pp/pb3p2/3p2B1/8/1N3N2/PPP2PPP/R2QKB1R w KQkq - 0 9
8moves-v3-07634	r2qk2r/ppp2ppp/2npbn2/b3p3/4P3/1BNPBN2/PPPQ1PPP/R3K2R w KQkq - 6 9
8moves-v3-08222	rnbq1rk1/ppn1ppbp/6p1/2p5/5P2/1PN3P1/PB1PP1BP/R2QK1NR w KQ - 3 9
8moves-v3-08343	rn1q1rk1/1bpp1ppp/1p2pn2/p7/1bPP4/2N2NP1/PPQ1PPBP/R1B2RK1 w - - 0 9
8moves-v3-08422	r1bq1rk1/pp2ppbp/1npp1np1/8/2PP4/2N1P1P1/PP2NPBP/R1BQ1RK1 w - - 4 9
8moves-v3-09015	r1bq1rk1/pp1nbppp/2pp1n2/8/P1BpP3/2N2N2/1PP2PPP/R1BQR1K1 w - - 0 9
8moves-v3-09560	r2qkb1r/pp1bpp1p/2n2np1/2p5/7Q/2N2NP1/PP1PPPBP/R1B1K2R w KQkq - 2 9
8moves-v3-09667	r1bq1rk1/1pp1bppp/3p1n2/p1nPp3/2P1P3/2N5/PPB1NPPP/R1BQK2R w KQ - 6 9
8moves-v3-09942	r2qk2r/pb1nbppp/1p2pn2/2ppN3/3P4/1P1BP3/PBP2PPP/RN1Q1RK1 w kq - 4 9
8moves-v3-10473	rnbr2k1/pp2ppbp/3p1np1/q1pP4/2P1P3/2N1BP2/PP1Q2PP/R3KBNR w KQ - 5 9
8moves-v3-10563	r1b1kb1r/ppqp1ppp/4pn2/4n3/2P5/1N4P1/PPQ1PPBP/RNB1K2R w KQkq - 6 9
8moves-v3-10720	rnbq1rk1/1p1nppbp/p2p2p1/2p3P1/2PPP3/2N1B3/PP2BP1P/R2QK1NR w KQ - 0 9
8moves-v3-10967	rn1qkb1r/pb3pp1/2p1pn1p/1p6/3P3B/5N2/PPQ1PPPP/RN2KB1R w KQkq - 2 9
8moves-v3-11323	rn1qk2r/pbpp1ppp/1p1bp3/8/2P1P2n/P4N2/1PBPNPPP/R1BQK2R w KQkq - 1 9
8moves-v3-11842	rnb1k2r/pp1p1ppp/2q1pn2/2b5/2P5/1N2P1P1/PP1B1P1P/RN1QKB1R w KQkq - 3 9
8moves-v3-11872	r1b1k2r/p1ppnpp1/1pn2q2/2b4p/3NP3/2P1B1PP/PP3P2/RN1QKB1R w KQkq - 0 9
8moves-v3-12184	r3k2r/pppqppbp/2n2np1/3p4/3P4/4P1PP/PPP2PB1/RNBQK2R w KQkq - 1 9
8moves-v3-12801	r2qk1nr/1pp2ppp/pbn1b3/4p3/PPB1P3/2P2N2/3P2PP/RNBQK2R w KQkq - 2 9
8moves-v3-12901	r1bq1rk1/1p2ppbp/2np1np1/p1p5/4P3/P1N3P1/1PPPNPBP/1RBQ1RK1 w - - 0 9
8moves-v3-12910	rnbqnrk1/ppp3bp/3p2p1/3Ppp2/2P1P3/2N1BP2/PP1Q2PP/R3KBNR w KQ - 0 9
8moves-v3-13107	rnbq1rk1/pp2bppp/4pn2/3p4/2BNP3/2N1B3/PPP1QPPP/R3K2R w KQ - 0 9
8moves-v3-13146	rnb1k2r/pp3ppp/3p1n2/q2Pp3/4P3/5P2/P2P2PP/R1BQKBNR w KQkq - 0 9
